time,free,used,cached,buffers
1692037398,982.4141,392.0312,2445.043,92.13281
1692037397,982.4141,392.0312,2445.043,92.13281
1692037396,982.4141,392.0391,2445.035,92.13281
1692037395,982.4141,392.0391,2445.035,92.13281
1692037394,982.4141,392.0391,2445.035,92.13281
1692037393,982.4141,392.0391,2445.035,92.13281
1692037392,982.4141,392.043,2445.031,92.13281
1692037391,982.4141,392.0742,2445.004,92.12891
1692037390,982.4141,392.0977,2444.98,92.12891
1692037389,982.4141,392.1289,2444.949,92.12891
1692037388,982.4141,392.1562,2444.922,92.12891
1692037387,982.4141,392.1875,2444.891,92.12891
1692037386,982.4141,392.2148,2444.863,92.12891
1692037385,982.4141,392.2383,2444.84,92.12891
1692037384,982.4141,392.2773,2444.801,92.12891
1692037383,984.3828,390.3359,2444.773,92.12891
1692037382,986.1055,388.6445,2444.742,92.12891
1692037381,986.1055,388.6797,2444.707,92.12891
1692037380,986.1055,388.7109,2444.676,92.12891
1692037379,986.1055,388.7344,2444.652,92.12891
1692037378,986.3516,388.5156,2444.625,92.12891
1692037377,986.3516,388.5469,2444.594,92.12891
1692037376,986.3516,388.5742,2444.566,92.12891
1692037375,986.3516,388.6055,2444.535,92.12891
1692037374,986.3516,388.6406,2444.5,92.12891
1692037373,986.3516,388.6719,2444.469,92.12891
1692037372,986.3516,388.6953,2444.445,92.12891
1692037371,986.3516,388.7305,2444.414,92.125
1692037370,986.5977,388.5195,2444.379,92.125
1692037369,988.3203,386.8359,2444.34,92.125
1692037368,989.0586,386.1211,2444.316,92.125
1692037367,990.7812,384.4258,2444.289,92.125
1692037366,990.7812,384.4531,2444.262,92.125
1692037365,990.7812,384.4805,2444.234,92.125
1692037364,990.7812,384.5117,2444.203,92.125
1692037363,992.2578,383.0742,2444.164,92.125
1692037362,992.5039,382.8555,2444.137,92.125
1692037361,992.5039,382.8984,2444.094,92.125
1692037360,992.5039,382.918,2444.074,92.125
1692037359,992.5039,382.9492,2444.043,92.125
1692037358,992.5039,382.9844,2444.008,92.125
1692037357,992.5039,383.0039,2443.988,92.125
1692037356,992.5039,383.0391,2443.953,92.125
1692037355,992.5039,383.0547,2443.938,92.125
1692037354,992.5039,383.0859,2443.906,92.125
1692037353,992.5039,383.1055,2443.887,92.125
1692037352,992.5039,383.1484,2443.844,92.125
1692037351,992.5039,383.1758,2443.816,92.125
1692037350,992.5039,383.207,2443.785,92.125
1692037349,992.75,382.9961,2443.75,92.125
1692037348,992.75,383.0234,2443.723,92.125
1692037347,992.75,383.0508,2443.695,92.125
1692037346,992.75,383.0859,2443.664,92.12109
1692037345,992.75,383.1094,2443.641,92.12109
1692037344,992.75,383.1406,2443.609,92.12109
1692037343,992.75,383.168,2443.582,92.12109
1692037342,992.75,383.2109,2443.539,92.12109
1692037341,992.75,383.2305,2443.52,92.12109
1692037340,992.75,383.2539,2443.496,92.12109
1692037339,992.75,383.2812,2443.469,92.12109
1692037338,992.75,383.3086,2443.441,92.12109
1692037337,992.75,383.3516,2443.398,92.12109
1692037336,992.75,383.375,2443.375,92.12109
1692037335,992.75,383.4062,2443.344,92.12109
1692037334,992.75,383.4336,2443.316,92.12109
1692037333,992.75,383.4609,2443.289,92.12109
1692037332,992.75,383.5,2443.25,92.12109
1692037331,992.75,383.5273,2443.223,92.12109
1692037330,992.75,383.5664,2443.188,92.11719
1692037329,992.75,383.5898,2443.164,92.11719
1692037328,992.9961,383.375,2443.133,92.11719
1692037327,992.9961,383.4023,2443.105,92.11719
1692037326,992.9961,383.4336,2443.074,92.11719
1692037325,992.9961,383.4609,2443.047,92.11719
1692037324,992.9961,383.5,2443.008,92.11719
1692037323,992.9961,383.5273,2442.98,92.11719
1692037322,992.9961,383.5625,2442.945,92.11719
1692037321,992.9961,383.582,2442.926,92.11719
1692037320,992.9961,383.6172,2442.891,92.11719
1692037319,992.9961,383.6406,2442.867,92.11719
1692037318,992.9961,383.6719,2442.836,92.11719
1692037317,993.2422,383.4609,2442.801,92.11719
1692037316,993.2422,383.4805,2442.781,92.11719
1692037315,993.2422,383.5195,2442.742,92.11719
1692037314,993.2422,383.5547,2442.707,92.11719
1692037313,993.2422,383.5898,2442.672,92.11719
1692037312,993.2422,383.6211,2442.641,92.11719
1692037311,993.2422,383.6523,2442.609,92.11719
1692037310,993.4883,383.4297,2442.586,92.11719
1692037309,993.4883,383.4688,2442.551,92.11328
1692037308,993.4883,383.4883,2442.531,92.11328
1692037307,993.4883,383.5273,2442.492,92.11328
1692037306,993.4883,383.5469,2442.473,92.11328
1692037305,993.4883,383.5898,2442.43,92.11328
1692037304,993.4883,383.6094,2442.41,92.11328
1692037303,993.4883,383.6484,2442.371,92.11328
1692037302,993.4883,383.6758,2442.344,92.11328
1692037301,993.4883,383.7109,2442.309,92.11328
1692037300,993.4883,383.7305,2442.289,92.11328
1692037299,993.4883,383.7656,2442.254,92.11328
1692037298,993.4883,383.7852,2442.234,92.11328
1692037297,993.4883,383.8242,2442.195,92.11328
1692037296,993.4883,383.8477,2442.172,92.11328
1692037295,993.4883,383.8828,2442.137,92.11328
1692037294,993.4883,383.9023,2442.117,92.11328
1692037293,993.4883,383.9414,2442.078,92.11328
1692037292,993.4883,383.9805,2442.039,92.11328
1692037291,993.4883,384.0117,2442.008,92.11328
1692037290,993.4883,384.0312,2441.988,92.11328
1692037289,993.4883,384.0742,2441.949,92.10938
