time,free,used,cached,buffers
1692037757,996.2422,372.6055,2450.578,92.19531
1692037756,996.2422,372.6055,2450.578,92.19531
1692037755,996.2422,372.625,2450.559,92.19531
1692037754,996.2422,372.6562,2450.527,92.19531
1692037753,996.2422,372.6914,2450.492,92.19531
1692037752,996.2422,372.7188,2450.465,92.19531
1692037751,996.2422,372.7461,2450.441,92.19141
1692037750,996.2422,372.7812,2450.406,92.19141
1692037749,996.2422,372.8047,2450.383,92.19141
1692037748,996.2422,372.8398,2450.348,92.19141
1692037747,996.2422,372.8633,2450.324,92.19141
1692037746,996.2422,372.8906,2450.297,92.19141
1692037745,996.2422,372.918,2450.27,92.19141
1692037744,996.2422,372.9492,2450.238,92.19141
1692037743,996.2422,372.9805,2450.207,92.19141
1692037742,996.2422,373.0156,2450.172,92.19141
1692037741,996.2422,373.043,2450.145,92.19141
1692037740,996.2422,373.0781,2450.109,92.19141
1692037739,996.2422,373.1016,2450.086,92.19141
1692037738,996.2422,373.1367,2450.051,92.19141
1692037737,996.2422,373.1562,2450.031,92.19141
1692037736,996.2422,373.1953,2449.996,92.1875
1692037735,996.2422,373.2188,2449.973,92.1875
1692037734,996.2422,373.25,2449.941,92.1875
1692037733,996.2422,373.2773,2449.914,92.1875
1692037732,996.2422,373.3164,2449.875,92.1875
1692037731,996.2422,373.3359,2449.855,92.1875
1692037730,996.2422,373.3789,2449.812,92.1875
1692037729,998.2109,371.4336,2449.789,92.1875
1692037728,998.457,371.2227,2449.754,92.1875
1692037727,998.457,371.2461,2449.73,92.1875
1692037726,1000.1797,369.5547,2449.699,92.1875
1692037725,1002.3945,367.3711,2449.668,92.1875
1692037724,1002.3945,367.3984,2449.641,92.1875
1692037723,1002.3945,367.4297,2449.609,92.1875
1692037722,1002.3945,367.4609,2449.578,92.1875
1692037721,1002.6406,367.2617,2449.535,92.18359
1692037720,1002.6406,367.2852,2449.512,92.18359
1692037719,1002.8867,367.0742,2449.477,92.18359
1692037718,1003.1328,366.8555,2449.449,92.18359
1692037717,1003.1328,366.8867,2449.418,92.18359
1692037716,1003.1328,366.9141,2449.395,92.17969
1692037715,1003.1328,366.9453,2449.363,92.17969
1692037714,1003.1328,366.9727,2449.336,92.17969
1692037713,1003.1328,367.0039,2449.305,92.17969
1692037712,1003.1328,367.0273,2449.281,92.17969
1692037711,1003.1328,367.0664,2449.242,92.17969
1692037710,1003.1328,367.1016,2449.207,92.17969
1692037709,1003.1328,367.1289,2449.18,92.17969
1692037708,1003.1328,367.1641,2449.145,92.17969
1692037707,1003.1328,367.1875,2449.121,92.17969
1692037706,1003.1328,367.2227,2449.086,92.17969
1692037705,1003.1328,367.2461,2449.062,92.17969
1692037704,1003.3789,367.0352,2449.027,92.17969
1692037703,1003.625,366.8164,2449,92.17969
1692037702,1004.8555,365.6055,2448.98,92.17969
1692037701,1007.0703,363.4336,2448.938,92.17969
1692037700,1009.5312,360.9961,2448.914,92.17969
1692037699,1009.7773,360.793,2448.871,92.17969
1692037698,1009.7773,360.8164,2448.848,92.17969
1692037697,1011.9922,358.6328,2448.816,92.17969
1692037696,1011.9922,358.6641,2448.785,92.17969
1692037695,1011.9922,358.6953,2448.754,92.17969
1692037694,1014.207,356.5,2448.734,92.17969
1692037693,1016.3945,354.3477,2448.699,92.17969
1692037692,976.4492,394.3125,2448.68,92.17969
1692037691,978.418,392.3906,2448.633,92.17969
1692037690,978.6641,392.168,2448.609,92.17969
1692037689,978.6641,392.2031,2448.574,92.17969
1692037688,978.6641,392.2344,2448.543,92.17969
1692037687,978.6641,392.2617,2448.516,92.17969
1692037686,978.6641,392.293,2448.484,92.17969
1692037685,980.8789,390.1055,2448.457,92.17969
1692037684,982.1094,388.8984,2448.434,92.17969
1692037683,982.1094,388.9336,2448.398,92.17969
1692037682,982.1094,388.9648,2448.367,92.17969
1692037681,982.1094,389.0039,2448.328,92.17969
1692037680,982.1094,389.0273,2448.305,92.17969
1692037679,982.1094,389.0586,2448.273,92.17969
1692037678,982.1094,389.0898,2448.242,92.17969
1692037677,982.1094,389.1172,2448.215,92.17969
1692037676,982.1094,389.1523,2448.18,92.17969
1692037675,982.1094,389.1719,2448.16,92.17969
1692037674,982.1094,389.207,2448.125,92.17969
1692037673,982.1094,389.2305,2448.102,92.17969
1692037672,982.1094,389.2656,2448.066,92.17969
1692037671,982.1094,389.2891,2448.043,92.17969
1692037670,982.1094,389.3242,2448.008,92.17969
1692037669,982.1094,389.3594,2447.973,92.17969
1692037668,982.1094,389.3906,2447.941,92.17969
1692037667,982.1094,389.418,2447.914,92.17969
1692037666,982.1094,389.4531,2447.879,92.17969
1692037665,982.1094,389.4727,2447.859,92.17969
1692037664,982.3555,389.2578,2447.828,92.17969
1692037663,982.6016,389.0391,2447.801,92.17969
1692037662,982.6016,389.0586,2447.781,92.17969
1692037661,982.6016,389.0977,2447.742,92.17969
1692037660,982.6016,389.125,2447.715,92.17969
1692037659,982.6016,389.1641,2447.676,92.17969
1692037658,982.6016,389.1875,2447.652,92.17969
1692037657,982.6016,389.2227,2447.617,92.17969
1692037656,982.6016,389.2461,2447.594,92.17969
1692037655,982.6016,389.2812,2447.559,92.17969
1692037654,982.6016,389.3164,2447.523,92.17969
1692037653,982.6016,389.3398,2447.5,92.17969
1692037652,982.6016,389.3672,2447.473,92.17969
1692037651,982.6016,389.3945,2447.445,92.17969
1692037650,982.6016,389.4258,2447.414,92.17969
1692037649,982.6016,389.4688,2447.371,92.17969
1692037648,982.6016,389.5,2447.34,92.17969
1692037647,982.6016,389.5195,2447.32,92.17969
1692037646,982.6016,389.5469,2447.293,92.17969
1692037645,982.6016,389.5781,2447.262,92.17969
1692037644,982.6016,389.6133,2447.227,92.17969
1692037643,982.6016,389.6445,2447.195,92.17969
1692037642,982.6016,389.668,2447.172,92.17969
1692037641,982.6016,389.6992,2447.141,92.17969
1692037640,982.6016,389.7344,2447.109,92.17578
1692037639,982.6016,389.7695,2447.074,92.17578
1692037638,982.6016,389.8008,2447.043,92.17578
1692037637,982.6016,389.8242,2447.02,92.17578
1692037636,982.6016,389.8555,2446.988,92.17578
1692037635,982.6016,389.8828,2446.961,92.17578
1692037634,982.6016,389.9102,2446.934,92.17578
1692037633,982.6016,389.9375,2446.906,92.17578
1692037632,982.6016,389.9688,2446.875,92.17578
1692037631,982.6016,390.0117,2446.832,92.17578
1692037630,984.3242,388.3203,2446.801,92.17578
1692037629,984.5703,388.0977,2446.777,92.17578
1692037628,984.5703,388.1328,2446.742,92.17578
1692037627,984.5703,388.1602,2446.715,92.17578
1692037626,984.5703,388.1875,2446.688,92.17578
1692037625,984.5703,388.2305,2446.648,92.17188
1692037624,984.5703,388.2461,2446.633,92.17188
1692037623,984.5703,388.2812,2446.598,92.17188
1692037622,984.5703,388.3164,2446.562,92.17188
1692037621,984.5703,388.3555,2446.523,92.17188
1692037620,984.5703,388.375,2446.504,92.17188
1692037619,984.5703,388.418,2446.461,92.17188
1692037618,984.5703,388.4414,2446.438,92.17188
1692037617,984.5703,388.4766,2446.402,92.17188
1692037616,984.5703,388.5,2446.379,92.17188
1692037615,984.5703,388.5391,2446.34,92.17188
1692037614,984.5703,388.5586,2446.32,92.17188
1692037613,984.5703,388.5977,2446.281,92.17188
1692037612,984.5703,388.625,2446.254,92.17188
1692037611,984.5703,388.6484,2446.23,92.17188
1692037610,984.5703,388.6836,2446.195,92.17188
1692037609,984.5703,388.7109,2446.172,92.16797
1692037608,984.5703,388.7422,2446.141,92.16797
1692037607,984.5703,388.7695,2446.113,92.16797
1692037606,984.5703,388.8008,2446.082,92.16797
1692037605,984.5703,388.8281,2446.055,92.16797
1692037604,984.5703,388.875,2446.008,92.16797
1692037603,984.5703,388.8984,2445.984,92.16797
1692037602,986.0469,387.4492,2445.957,92.16797
1692037601,986.0469,387.4805,2445.926,92.16797
1692037600,986.0469,387.5117,2445.895,92.16797
1692037599,986.0469,387.543,2445.867,92.16406
1692037598,986.5391,387.0781,2445.84,92.16406
1692037597,986.5391,387.1094,2445.809,92.16406
1692037596,986.5391,387.1445,2445.773,92.16406
1692037595,986.5391,387.1758,2445.742,92.16406
1692037594,986.5391,387.2031,2445.715,92.16406
1692037593,986.5391,387.2266,2445.691,92.16406
1692037592,987.0312,386.7695,2445.656,92.16406
1692037591,987.0312,386.8047,2445.621,92.16406
1692037590,987.0312,386.832,2445.594,92.16406
1692037589,987.0312,386.8633,2445.562,92.16406
1692037588,987.0312,386.8906,2445.535,92.16406
1692037587,987.0312,386.918,2445.508,92.16406
1692037586,987.0312,386.9609,2445.465,92.16406
1692037585,987.0312,386.9844,2445.441,92.16406
1692037584,988.7539,385.293,2445.41,92.16406
1692037583,988.7539,385.3164,2445.387,92.16406
1692037582,989.2344,384.9062,2445.316,92.16406
1692037581,989.4805,384.6914,2445.285,92.16406
1692037580,989.4805,384.707,2445.27,92.16406
1692037579,989.4805,384.75,2445.234,92.15625
1692037578,991.6953,382.5625,2445.207,92.15625
1692037577,994.1562,380.1289,2445.18,92.15625
1692037576,996.3711,377.9492,2445.145,92.15625
1692037575,998.5859,375.7578,2445.121,92.15625
1692037574,998.832,375.543,2445.09,92.15625
1692037573,999.5703,374.8047,2445.09,92.15625
1692037572,999.5703,374.8047,2445.09,92.15625
1692037571,999.5703,374.8047,2445.09,92.15625
1692037570,999.5703,374.8047,2445.09,92.15625
1692037569,999.5703,374.8047,2445.09,92.15625
1692037568,999.8164,374.5586,2445.09,92.15625
1692037567,999.8164,374.5586,2445.09,92.15625
1692037566,999.8164,374.5625,2445.09,92.15234
1692037565,999.8164,374.5625,2445.09,92.15234
1692037564,999.8164,374.5625,2445.09,92.15234
1692037563,999.8164,374.5625,2445.09,92.15234
1692037562,1000.0625,374.3164,2445.09,92.15234
1692037561,1000.0625,374.3164,2445.09,92.15234
1692037560,1000.3086,374.0703,2445.09,92.15234
1692037559,1000.3086,374.0703,2445.09,92.15234
1692037558,1000.3086,374.0703,2445.09,92.15234
1692037557,1000.3086,374.0703,2445.09,92.15234
1692037556,1000.3086,374.0703,2445.09,92.15234
1692037555,1000.3086,374.0703,2445.09,92.15234
1692037554,1000.3086,374.0703,2445.09,92.15234
1692037553,1000.3086,374.0703,2445.09,92.15234
1692037552,1000.3086,374.0703,2445.09,92.15234
1692037551,1000.3086,374.0703,2445.09,92.15234
1692037550,1000.3086,374.0703,2445.09,92.15234
1692037549,1000.3086,374.0703,2445.09,92.15234
1692037548,1000.3086,374.0703,2445.09,92.15234
1692037547,1000.3086,374.0703,2445.09,92.15234
1692037546,1000.3086,374.0703,2445.09,92.15234
1692037545,1000.3086,374.0703,2445.09,92.15234
1692037544,1000.3086,374.0703,2445.09,92.15234
1692037543,1000.3086,374.0703,2445.09,92.15234
1692037542,1000.3086,374.0703,2445.09,92.15234
1692037541,1000.3086,374.0703,2445.09,92.15234
1692037540,1000.3086,374.0703,2445.09,92.15234
1692037539,1000.3086,374.0703,2445.09,92.15234
1692037538,1000.3086,374.0703,2445.09,92.15234
1692037537,1000.3086,374.0703,2445.09,92.15234
1692037536,1000.3086,374.0703,2445.09,92.15234
1692037535,1000.3086,374.0703,2445.09,92.15234
1692037534,1000.3086,374.0703,2445.09,92.15234
1692037533,1000.3086,374.0703,2445.09,92.15234
1692037532,1000.3086,374.0703,2445.09,92.15234
1692037531,1000.3086,374.0703,2445.09,92.15234
1692037530,1000.3086,374.0703,2445.09,92.15234
1692037529,1000.3086,374.0742,2445.09,92.14844
1692037528,1000.543,373.8398,2445.09,92.14844
1692037527,1000.543,373.8398,2445.09,92.14844
1692037526,1000.543,373.8398,2445.09,92.14844
1692037525,1000.543,373.8398,2445.09,92.14844
1692037524,1000.543,373.8398,2445.09,92.14844
1692037523,1000.543,373.8398,2445.09,92.14844
1692037522,1000.543,373.8398,2445.09,92.14844
1692037521,1000.543,373.8398,2445.09,92.14844
1692037520,1000.543,373.8398,2445.09,92.14844
1692037519,1000.543,373.8398,2445.09,92.14844
1692037518,1000.543,373.8398,2445.09,92.14844
1692037517,1000.543,373.8398,2445.09,92.14844
1692037516,1000.543,373.8398,2445.09,92.14844
1692037515,1000.543,373.8398,2445.09,92.14844
1692037514,1002.7578,371.6289,2445.086,92.14844
1692037513,1003.0039,371.3828,2445.09,92.14453
1692037512,1004.7266,369.6602,2445.09,92.14453
1692037511,1006.6953,367.6914,2445.09,92.14453
1692037510,1006.9414,367.4453,2445.09,92.14453
1692037509,1008.1719,366.2148,2445.09,92.14453
1692037508,1020.2305,354.1562,2445.09,92.14453
1692037507,1022.4141,351.9727,2445.09,92.14453
1692037506,982.4141,391.9727,2445.09,92.14453
1692037505,982.4141,391.9727,2445.09,92.14453
1692037504,982.4141,391.9727,2445.09,92.14453
1692037503,982.4141,391.9727,2445.09,92.14453
1692037502,982.4141,391.9727,2445.09,92.14453
1692037501,982.4141,391.9727,2445.09,92.14453
1692037500,982.4141,391.9727,2445.09,92.14453
1692037499,982.4141,391.9727,2445.09,92.14453
1692037498,982.4141,391.9727,2445.09,92.14453
1692037497,982.4141,391.9727,2445.09,92.14453
1692037496,982.4141,391.9727,2445.09,92.14453
1692037495,982.4141,391.9727,2445.09,92.14453
1692037494,982.4141,391.9727,2445.09,92.14453
1692037493,982.4141,391.9727,2445.09,92.14453
1692037492,982.4141,391.9727,2445.09,92.14453
1692037491,982.4141,391.9727,2445.09,92.14453
1692037490,982.4141,391.9727,2445.09,92.14453
1692037489,982.4141,391.9727,2445.09,92.14453
