time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
1692036676,0,0,0,0,0,0.5050505,0.5050505,1.5151515,0
1692036675,0,0,0,0,0,0.5,1,1.5,0
1692036674,0,0,0,0,0,0,1.0152284,1.0152284,0
1692036673,0,0,0.5025126,0,0,0,0.5025126,1.5075377,0
1692036672,0,0,0,0,0,1.0050251,0.5025126,1.0050251,0
1692036671,0,0,0,0,0,1.010101,1.010101,1.010101,0
1692036670,0,0,0,0.5050505,0,0,0.5050505,1.5151515,0
1692036669,0,0,0,0,0,1.0050251,0.5025126,2.01005,0
1692036668,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692036667,0,0,0.5025126,0,0,0.5025126,1.0050251,1.5075377,0
1692036666,0,0,0,0,0,4.081633,2.040816,1.0204082,0
1692036665,0,0,0.5050505,0.5050505,0,4.545455,2.525253,1.010101,0
1692036664,0,0,0,0.5102041,0,4.591837,2.55102,1.0204082,0
1692036663,0,0,0.5076142,1.0152284,0,4.568528,2.538071,0.5076142,0
1692036662,0,0,0,0,0,6.122449,2.040816,0.5102041,0
1692036661,0,0,0.5025126,0.5025126,0,4.522613,2.512563,1.5075377,0.5025126
1692036660,0,0,2.525253,1.010101,0,4.545455,2.525253,1.5151515,0
1692036659,0,0,0,0.5181347,0,4.145078,2.072539,0.5181347,0
1692036658,0,0,0.5076142,0.5076142,0,4.568528,2.030457,1.0152284,0
1692036657,0,0,0,0.5128205,0,4.615385,1.025641,1.025641,0
1692036656,0,0,0.5102041,0.5102041,0,3.061224,2.040816,1.5306122,0
1692036655,0,0,0,0.5154639,0,5.154639,1.0309278,1.0309278,0
1692036654,0,0,0.5076142,0.5076142,0,4.568528,2.030457,0.5076142,0
1692036653,0,0,0,0,0,5.076142,3.045685,1.0152284,0
1692036652,0,0,0.5050505,0.5050505,0,4.040404,1.5151515,1.010101,0
1692036651,0,0,0,1.0152284,0,5.076142,3.045685,1.0152284,0
1692036650,0,0,0,0,0,3.608247,1.5463918,1.0309278,0
1692036649,0,0,0.5181347,0.5181347,0,4.145078,2.072539,1.5544041,0
1692036648,0,0,0.5025126,0.5025126,0,4.020101,1.5075377,1.5075377,0
1692036647,0,0,0,0.5181347,0,5.181347,1.5544041,0.5181347,0
1692036646,0,0,0,0.5128205,0,5.641026,1.5384615,0.5128205,0
1692036645,0,0,0.5076142,0.5076142,0,6.091371,2.030457,1.0152284,0
1692036644,0,0,0.5102041,0,0,3.571429,1.5306122,1.0204082,0
1692036643,0,0,0,0.5102041,0,7.142857,2.040816,0.5102041,0
1692036642,0,0,0.5050505,1.010101,0,2.525253,1.5151515,1.010101,0
1692036641,0,0,0,1.025641,0,5.641026,2.051282,0.5128205,0
1692036640,0,0,0.5025126,0,0,4.020101,2.01005,1.0050251,0
1692036639,0,0,0,0,0,4.639175,2.061856,1.0309278,0
1692036638,0,0,0.5102041,1.0204082,0,5.102041,2.040816,1.0204082,0
1692036637,0,0,0,0,0,4.081633,2.040816,1.5306122,0
1692036636,0,0,0.5128205,1.025641,0,3.589744,2.051282,1.025641,0
1692036635,0,0,0,0,0,5.128205,2.051282,1.025641,0
1692036634,0,0,0.5,1.5,0,5,3,0.5,0
1692036633,0,0,0,0.5128205,0,4.615385,2.051282,1.025641,0
1692036632,0,0,0.5,1,0,4.5,3,1,0
1692036631,0,0,0,0.5102041,0,4.591837,2.040816,0.5102041,0
1692036630,0,0,0.5102041,0.5102041,0,5.102041,1.5306122,1.5306122,0
1692036629,0,0,0.5102041,0,0,6.632653,1.5306122,1.5306122,0
1692036628,0,0,0,0,0,5.025126,2.512563,1.0050251,0
1692036627,0,0,0.5128205,0.5128205,0,6.153846,1.025641,1.025641,0
1692036626,0,0,0,0.5102041,0,4.591837,1.0204082,1.0204082,0
1692036625,0,0,0,0,0,5.076142,2.538071,1.0152284,0
1692036624,0,0,0.5076142,0.5076142,0,3.553299,1.5228426,1.0152284,0
1692036623,0,0,0,0.5102041,0,6.632653,1.5306122,1.0204082,0
1692036622,0,0,0.5102041,0,0,3.061224,2.040816,1.0204082,0
1692036621,0,0,0,1.010101,0,6.060606,2.020202,0.5050505,0
1692036620,0,0,0.5102041,0,0,4.591837,2.040816,1.0204082,0
1692036619,0,0,0,1.0309278,0,4.123711,2.061856,1.0309278,0
1692036618,0,0,0.5050505,0.5050505,0,4.040404,1.5151515,1.5151515,0
1692036617,0,0,0,0.5102041,0,6.122449,2.55102,0.5102041,0
1692036616,0,0,0.5050505,0.5050505,0,4.545455,2.020202,0.5050505,0
1692036615,0,0,0,0.5102041,0,5.612245,2.55102,1.5306122,0
1692036614,0,0,0.5050505,0.5050505,0,4.545455,1.010101,1.010101,0
1692036613,0,0,0,0.5076142,0,4.060914,2.030457,1.5228426,0
1692036612,0,0,0.5154639,0.5154639,0,4.639175,2.061856,0.5154639,0
1692036611,0,0,0,0.5025126,0,4.522613,2.512563,1.0050251,0
1692036610,0,0,0.5025126,0.5025126,0,5.025126,2.512563,1.0050251,0
1692036609,0,0,0,0,0,5.181347,1.0362694,1.5544041,0
1692036608,0,0,0.5181347,0,0,5.699482,1.0362694,0.5181347,0
1692036607,0,0,0,1.010101,0,4.545455,2.525253,1.010101,0.5050505
1692036606,0,0,0.5102041,0,0,4.591837,1.0204082,1.5306122,0
1692036605,0,0,0,1.0152284,0,5.076142,2.030457,0,0
1692036604,0,0,0.5102041,1.0204082,0,4.081633,1.0204082,2.040816,0
1692036603,0,0,0.5050505,1.010101,0,6.565657,1.010101,1.010101,0
1692036602,0,0,0.5102041,0.5102041,0,5.102041,2.040816,1.0204082,0
1692036601,0,0,0,0,0,5.128205,2.564103,0.5128205,0
1692036600,0,0,2.01005,1.0050251,0,6.030151,2.512563,0.5025126,0
1692036599,0,0,0,0,0,3.108808,3.108808,1.5544041,0
1692036598,0,0,0.5154639,0.5154639,0,3.092784,2.061856,0.5154639,0
1692036597,0,0,0,0,0,4.123711,2.061856,1.5463918,0
1692036596,0,0,0,0.5025126,0,5.025126,2.01005,1.5075377,0
1692036595,0,0,0.5076142,1.0152284,0,4.060914,2.538071,1.0152284,0
1692036594,0,0,0,0,0,5.527638,2.01005,1.0050251,0
1692036593,0,0,0.5181347,0.5181347,0,4.663212,2.072539,0.5181347,0
1692036592,0,0,0,0,0,4.081633,2.55102,1.0204082,0
1692036591,0,0,0.5128205,0.5128205,0,4.615385,1.5384615,0.5128205,0
1692036590,0,0,0,0,0,4.123711,1.0309278,1.0309278,0
1692036589,0,0,0.5102041,1.0204082,0,5.612245,2.040816,1.0204082,0
1692036588,0,0,0,0.5076142,0,3.045685,2.538071,1.0152284,0
1692036587,0,0,0.5128205,0,0,6.153846,2.564103,0.5128205,0
1692036586,0,0,0,0.5076142,0,4.060914,1.5228426,1.5228426,0
1692036585,0,0,0.5154639,0.5154639,0,5.154639,1.0309278,0.5154639,0
1692036584,0,0,0,0,0,4.591837,2.55102,1.0204082,0
1692036583,0,0,0.5,1,0,4,2,0.5,0
1692036582,0,0,0,0.5102041,0,4.591837,1.5306122,1.0204082,0
1692036581,0,0,0.5050505,1.010101,0,6.060606,2.020202,1.010101,0
