time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
1692037402,0,0,0.5076142,0,0,0,0.5076142,1.0152284,0
1692037401,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692037400,0,0,0,0,0,0.5050505,1.010101,1.010101,0
1692037399,0,0,0,0,0,1.0050251,1.0050251,1.5075377,0
1692037398,0,0,0.5050505,0,0,0.5050505,0.5050505,1.010101,0
1692037397,0,0,0,0,0,0.5050505,0,1.5151515,0
1692037396,0,0,0,0,0,1.010101,1.010101,1.010101,0
1692037395,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692037394,0,0,0,0,0,1,1,1,0.5
1692037393,0,0,0.5025126,0,0,0.5025126,2.01005,0.5025126,0
1692037392,0,0,0,0.5181347,0,4.145078,1.5544041,1.0362694,0
1692037391,0,0,0.5,1,0,6,2.5,1,0
1692037390,0,0,0,0.5128205,0,5.641026,3.076923,1.5384615,0
1692037389,0,0,0.5208333,0,0,6.25,2.083333,1.0416667,0
1692037388,0,0,0,1.5228426,0,6.091371,1.5228426,1.0152284,0
1692037387,0,0,0,0.5154639,0,5.670103,2.061856,1.0309278,0
1692037386,0,0,0.5154639,1.0309278,0,5.154639,2.57732,0.5154639,0
1692037385,0,0,0.5128205,1.025641,0,5.128205,1.5384615,1.025641,0
1692037384,0,0,0,0.5102041,0,4.081633,4.081633,1.0204082,0
1692037383,0,0,0.5076142,0.5076142,0,7.614213,1.5228426,2.030457,0
1692037382,0,0,0.5154639,0,0,5.670103,3.092784,0.5154639,0
1692037381,0,0,0,1.0204082,0,6.122449,2.55102,1.0204082,0
1692037380,0,0,1.5306122,0.5102041,0,6.122449,2.55102,0.5102041,0
1692037379,0,0,0,0,0,5.612245,3.571429,2.040816,0
1692037378,0,0,0.5076142,1.5228426,0,5.076142,3.045685,1.0152284,0
1692037377,0,0,0,1.5463918,0,4.123711,4.123711,1.5463918,0
1692037376,0,0,0.5102041,1.0204082,0,5.612245,2.040816,0.5102041,0
1692037375,0,0,0,0.5076142,0,7.106599,2.538071,1.5228426,0
1692037374,0,0,0.5025126,0.5025126,0,7.035176,3.015075,0.5025126,0
1692037373,0,0,0,0.5154639,0,5.670103,1.5463918,1.5463918,0
1692037372,0,0,0.5050505,0.5050505,0,8.080808,1.5151515,1.5151515,0
1692037371,0,0,0.5102041,1.5306122,0,6.122449,1.0204082,1.0204082,0
1692037370,0,0,0,1.0362694,0,5.181347,2.590674,1.0362694,0
1692037369,0,0,0.5076142,0.5076142,0,7.614213,2.538071,1.0152284,0
1692037368,0,0,0.5128205,0,0,6.153846,2.564103,1.025641,0
1692037367,0,0,0,1.010101,0,6.565657,2.525253,1.5151515,0
1692037366,0,0,0.5076142,1.0152284,0,6.598985,2.538071,0.5076142,0
