time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
1692037762,0,0,0,0,0,0.5,1.5,1.5,0
1692037761,0,0,0.5025126,0,0,1.0050251,0.5025126,0.5025126,0
1692037760,0,0,0,0,0,0,1.0152284,1.0152284,0
1692037759,0,0,0,0,0,1,2,1.5,0
1692037758,0,0,0,0,0,0.5076142,1.5228426,1.0152284,0
1692037757,0,0,0,0.5025126,0,0.5025126,0.5025126,0.5025126,0.5025126
1692037756,0,0,0.5076142,0,0,1.5228426,2.030457,1.0152284,0
1692037755,0,0,0,1.0204082,0,4.081633,3.061224,1.0204082,0
1692037754,0,0,0.5025126,1.0050251,0,6.532663,3.517588,1.0050251,0
1692037753,0,0,0,1.010101,0,6.060606,3.030303,1.5151515,0
1692037752,0,0,0.5181347,0,0,5.699482,1.0362694,1.0362694,0
1692037751,0,0,0,1.5306122,0,5.612245,2.040816,1.5306122,0
1692037750,0,0,0.5050505,0.5050505,0,7.070707,2.525253,0.5050505,0
1692037749,0,0,0,1.0152284,0,6.598985,2.538071,0.5076142,0
1692037748,0,0,0.5050505,0,0,7.575758,3.030303,1.010101,0
1692037747,0,0,0,0.5076142,0,6.598985,2.030457,1.0152284,0
1692037746,0,0,0.5076142,0.5076142,0,6.091371,2.538071,1.0152284,0
1692037745,0,0,0.5076142,0.5076142,0,6.598985,3.045685,1.0152284,0
1692037744,0,0,0,1.5075377,0,6.532663,3.015075,1.0050251,0
1692037743,0,0,0.5076142,0.5076142,0,7.106599,2.030457,1.0152284,0
1692037742,0,0,0.5076142,0.5076142,0,6.091371,2.538071,1.0152284,0
1692037741,0,0,0,0.5025126,0,7.537688,4.020101,0.5025126,0
1692037740,0,0,1.4925373,0.9950249,0,5.970149,2.487562,0.9950249,0
1692037739,0,0,0.5050505,0.5050505,0,7.575758,2.525253,2.020202,0
1692037738,0,0,0,1.5228426,0,6.091371,2.538071,0.5076142,0
1692037737,0,0,0.5181347,0.5181347,0,4.663212,2.072539,0.5181347,0
1692037736,0,0,0,0.5128205,0,5.128205,1.5384615,1.5384615,0
1692037735,0,0,0.5025126,0.5025126,0,6.532663,3.015075,1.0050251,0
1692037734,0,0,0,1,0,6.5,2,1.5,0
1692037733,0,0,0.5076142,1.0152284,0,6.598985,2.030457,0.5076142,0
1692037732,0,0,0,1.0471204,0,5.235602,1.0471204,1.0471204,0
1692037731,0,0,0.5076142,0.5076142,0,6.091371,2.030457,1.0152284,0
1692037730,0,0,0,0.5154639,0,6.701031,2.061856,1.0309278,0
1692037729,0,0,0.5102041,1.0204082,0,5.102041,2.55102,1.0204082,0
1692037728,0,0,0,0.5154639,0,5.670103,2.061856,1.0309278,0
1692037727,0,0,0.5102041,1.0204082,0,6.632653,2.040816,0.5102041,0
1692037726,0,0,0,0.5102041,0,5.612245,2.55102,1.5306122,0
1692037725,0,0,0.5025126,1.0050251,0,5.527638,2.512563,1.5075377,0
1692037724,0,0,0,0,0,5.641026,3.076923,1.025641,0
1692037723,0,0,0.5050505,0.5050505,0,6.060606,4.040404,0.5050505,0
1692037722,0,0,0,1.5151515,0,5.050505,3.535354,1.010101,0
1692037721,0,0,0.5102041,0,0,7.142857,2.55102,0.5102041,0
1692037720,0,0,0,1.025641,0,5.641026,2.051282,1.025641,0
1692037719,0,0,0.5128205,0.5128205,0,5.641026,3.076923,1.025641,0
1692037718,0,0,0,0.5181347,0,5.699482,2.072539,1.0362694,0
1692037717,0,0,0.5025126,1.0050251,0,6.030151,2.512563,0.5025126,0
1692037716,0,0,0,1.025641,0,5.641026,1.5384615,1.025641,0
1692037715,0,0,0.5102041,1.0204082,0,5.102041,2.040816,1.0204082,0
1692037714,0,0,0,1.5075377,0,6.030151,3.517588,1.0050251,0
1692037713,0,0,0.5128205,0,0,5.641026,4.102564,0.5128205,0
1692037712,0,0,0,1.0152284,0,6.598985,2.538071,1.0152284,0
1692037711,0,0,0.5076142,1.0152284,0,5.583756,3.045685,1.5228426,0
1692037710,0,0,0,0,0,6.217617,1.0362694,1.0362694,0
1692037709,0,0,0.5,1,0,7.5,3,1.5,0.5
1692037708,0,0,0,0.5102041,0,6.122449,2.55102,1.0204082,0
1692037707,0,0,0.5050505,1.010101,0,6.060606,2.020202,1.010101,0
1692037706,0,0,0.5076142,0.5076142,0,7.614213,2.538071,0.5076142,0
1692037705,0,0,0,0,0,7.142857,2.040816,1.0204082,0
1692037704,0,0,0.5050505,1.010101,0,6.565657,2.020202,1.010101,0
1692037703,0,0,0,1.0309278,0,5.154639,2.061856,1.0309278,0
1692037702,0,0,0.5050505,1.010101,0,6.565657,2.020202,1.5151515,0
1692037701,0,0,0,0.5128205,0,5.641026,3.076923,1.025641,0
1692037700,0,0,0.5050505,1.5151515,0,5.555556,3.535354,0.5050505,0
1692037699,0,0,0,0.5128205,0,6.153846,2.051282,1.025641,0
1692037698,0,0,0.5102041,0.5102041,0,7.653061,2.040816,1.0204082,0
1692037697,0,0,0,1.0309278,0,5.154639,1.5463918,1.0309278,0
1692037696,0,0,0.5050505,1.010101,0,6.565657,2.020202,1.5151515,0
1692037695,0,0,0,0.5076142,0,6.091371,3.045685,1.0152284,0
1692037694,0,0,0.5076142,0.5076142,0,5.076142,2.538071,1.0152284,0
1692037693,0,0,0,0.5154639,0,5.670103,3.608247,0.5154639,0
1692037692,0,0,0.5050505,1.010101,0,6.565657,3.030303,1.010101,0
1692037691,0,0,0.5076142,1.0152284,0,6.598985,2.538071,0.5076142,0
1692037690,0,0,0,0.5050505,0,6.565657,2.525253,1.5151515,0
1692037689,0,0,0,0,0,6.185567,2.061856,1.0309278,0
1692037688,0,0,0.5,0.5,0,6.5,3,1.5,0
1692037687,0,0,0,0,0,5.208333,2.083333,1.0416667,0
1692037686,0,0,0.5,1.5,0,5.5,4,1,0
1692037685,0,0,0,0,0,6.153846,3.076923,1.025641,0
1692037684,0,0,0.5102041,1.0204082,0,6.122449,3.061224,0.5102041,0
1692037683,0,0,0.5128205,1.5384615,0,6.153846,2.051282,1.025641,0
1692037682,0,0,0.5128205,0.5128205,0,6.153846,3.076923,1.025641,0
1692037681,0,0,0,1.0152284,0,6.598985,2.538071,1.0152284,0
1692037680,0,0,2.5,0.5,0,7,2,1,0
1692037679,0,0,0,1.025641,0,5.128205,3.589744,1.025641,0
1692037678,0,0,0.5076142,0.5076142,0,6.598985,2.538071,1.0152284,0
1692037677,0,0,0,1.0152284,0,6.091371,2.538071,1.0152284,0
1692037676,0,0,0.5050505,1.5151515,0,6.565657,2.020202,0.5050505,0
1692037675,0,0,0,0.5181347,0,6.735751,2.072539,0.5181347,0
1692037674,0,0,0.5128205,0.5128205,0,5.641026,3.076923,0.5128205,0
1692037673,0,0,0,1.0204082,0,5.102041,2.55102,1.0204082,0
1692037672,0,0,0.5025126,1.0050251,0,7.035176,3.015075,1.0050251,0
1692037671,0,0,0,0.5102041,0,6.122449,3.061224,1.0204082,0
1692037670,0,0,0.5076142,1.5228426,0,6.598985,2.030457,0.5076142,0
1692037669,0,0,0,0.5181347,0,5.699482,1.5544041,1.5544041,0
1692037668,0,0,0.5128205,1.025641,0,6.153846,2.051282,0.5128205,0
1692037667,0,0,0,0.5102041,0,5.612245,2.55102,1.0204082,0
1692037666,0,0,0.5128205,1.025641,0,5.641026,1.5384615,1.025641,0
