time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
1692038136,0,0,0.5025126,0,0,0.5025126,1.0050251,0.5025126,0.5025126
1692038135,0,0,0,0,0,0,0.5050505,1.5151515,0
1692038134,0,0,0,0,0,0,1.5075377,1.0050251,0
1692038133,0,0,0,0,0,0.5050505,0.5050505,1.5151515,0
1692038132,0,0,0,0,0,0,2.030457,1.0152284,0
1692038131,0,0,0.5,0,0,0.5,1,1.5,0
1692038130,0,0,0,0,0,0.5076142,1.0152284,0.5076142,0
1692038129,0,0,0,0,0,0.5050505,0.5050505,2.020202,0
1692038128,0,0,0,0,0,0,1.0152284,1.0152284,0
1692038127,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692038126,0,0,0.5050505,0,0,0.5050505,1.010101,0.5050505,0
1692038125,0,0,0,0,0,1.010101,1.010101,0.5050505,0
1692038124,0,0,0,0,0,1.010101,0,1.010101,0
1692038123,0,0,0,0,0,1,1,1,0
1692038122,0,0,0,0,0,1.010101,0.5050505,1.010101,0
1692038121,0,0,0,0,0,0.5076142,0.5076142,1.5228426,0
1692038120,0,0,0.5,0.5,0,2,1.5,1,0
1692038119,0,0,0,0.5076142,0,5.583756,4.060914,1.5228426,0
1692038118,0,0,0.5102041,1.0204082,0,5.102041,1.0204082,1.0204082,0
1692038117,0,0,0,0.5154639,0,5.670103,3.092784,1.0309278,0
1692038116,0,0,0.5102041,0.5102041,0,7.142857,2.040816,1.5306122,0
1692038115,0,0,0,0.5050505,0,6.565657,2.525253,1.5151515,0
1692038114,0,0,0.5025126,1.0050251,0,7.035176,2.512563,1.0050251,0
1692038113,0,0,0.5102041,0.5102041,0,5.612245,2.55102,1.0204082,0
1692038112,0,0,0,1.0204082,0,5.612245,2.55102,1.0204082,0
1692038111,0,0,0.5128205,1.025641,0,5.128205,3.076923,1.025641,0
1692038110,0,0,0,1.0204082,0,5.102041,2.55102,1.5306122,0
1692038109,0,0,0.5050505,0.5050505,0,7.070707,3.535354,1.010101,0
1692038108,0,0,0,1.010101,0,6.060606,3.030303,1.010101,0
