time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
1692037047,0,0,0.5,0,0,0,1.5,1,0
1692037046,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692037045,0,0,0,0,0,0,1.5151515,1.010101,0
1692037044,0,0,0,0,0,0.5076142,1.0152284,1.0152284,0
1692037043,0,0,0,0,0,1.0050251,0.5025126,1.0050251,0
1692037042,0,0,0.5,0,0,0,1,1,0.5
1692037041,0,0,0,0,0,0.5050505,1.010101,1.010101,0
1692037040,0,0,0,0,0,0.5050505,1.010101,1.010101,0
1692037039,0,0,0,0.5025126,0,0.5025126,2.01005,0.5025126,0
1692037038,0,0,0,0,0,1.0050251,0.5025126,1.5075377,0
1692037037,0,0,0,0,0,0.5025126,0.5025126,1.5075377,0
1692037036,0,0,0.5076142,0,0,0,0.5076142,1.0152284,0
1692037035,0,0,0,0,0,0.5050505,0.5050505,1.010101,0
1692037034,0,0,0,0,0,1.5075377,1.0050251,0.5025126,0
1692037033,0,0,0,0,0,0.5050505,1.5151515,0.5050505,0
1692037032,0,0,0,0,0,0.5076142,0,1.0152284,0
1692037031,0,0,0.5050505,0,0,0,0.5050505,1.010101,0
1692037030,0,0,0,0,0,1.5151515,1.010101,1.010101,0
1692037029,0,0,0,0.5076142,0,6.091371,3.553299,2.030457,0
1692037028,0,0,0.5128205,0,0,6.153846,2.051282,1.025641,0
1692037027,0,0,0,1.0309278,0,5.670103,2.061856,1.0309278,0
1692037026,0,0,0.5076142,0.5076142,0,6.091371,2.030457,1.5228426,0
1692037025,0,0,0,0.5102041,0,7.142857,2.55102,1.0204082,0
1692037024,0,0,0.5050505,1.010101,0,5.555556,2.020202,1.010101,0
1692037023,0,0,0.5128205,0.5128205,0,8.205128,2.051282,1.025641,0
1692037022,0,0,1.0152284,0.5076142,0,6.598985,2.538071,1.5228426,0
1692037021,0,0,1.0204082,0.5102041,0,6.632653,2.55102,0.5102041,0
1692037020,0,0,4.522613,1.0050251,0,4.522613,1.5075377,2.01005,0
1692037019,0,0,0.5076142,0.5076142,0,6.598985,3.045685,1.5228426,0
1692037018,0,0,0.5050505,0.5050505,0,6.060606,3.535354,1.010101,0
1692037017,0,0,0,0.5208333,0,5.729167,1.5625,1.0416667,0
1692037016,0,0,0.5,0.5,0,7.5,2,1.5,0
1692037015,0,0,0,0.5102041,0,6.122449,2.040816,1.0204082,0.5102041
1692037014,0,0,0.5128205,0,0,6.153846,1.5384615,0.5128205,0
1692037013,0,0,0,1.4925373,0,6.467662,2.985075,0.9950249,0
1692037012,0,0,0.5128205,1.025641,0,6.666667,2.051282,1.5384615,0
1692037011,0,0,0,1.0204082,0,4.591837,2.55102,0.5102041,0
1692037010,0,0,0.5076142,1.0152284,0,6.598985,2.538071,0.5076142,0
1692037009,0,0,0,0.5076142,0,7.614213,2.538071,1.5228426,0
1692037008,0,0,0.5076142,0.5076142,0,7.614213,2.030457,1.0152284,0
1692037007,0,0,0,0.5128205,0,6.666667,2.564103,0.5128205,0
1692037006,0,0,0.5050505,1.010101,0,6.060606,3.030303,1.5151515,0
1692037005,0,0,0.5128205,0,0,6.666667,2.564103,1.025641,0
1692037004,0,0,0.5181347,1.0362694,0,5.181347,1.5544041,0.5181347,0
1692037003,0,0,0,0,0,6.153846,2.564103,1.025641,0
1692037002,0,0,0.5102041,0.5102041,0,5.612245,2.040816,0.5102041,0
