time,free,used,cached,buffers
1692036326,1023.5117,365.9766,2430.32,91.8125
1692036325,1023.5117,365.9766,2430.32,91.8125
1692036324,1023.5117,365.9766,2430.32,91.8125
1692036323,1023.5117,365.9766,2430.32,91.8125
1692036322,1023.5117,365.9766,2430.32,91.8125
1692036321,1023.5117,365.9766,2430.32,91.8125
1692036320,1023.5117,365.9766,2430.32,91.8125
1692036319,1023.5117,365.9766,2430.32,91.8125
1692036318,1023.5117,365.9766,2430.32,91.8125
1692036317,1023.5117,365.9766,2430.32,91.8125
1692036316,1023.5117,365.9766,2430.32,91.8125
1692036315,1023.5117,365.9766,2430.32,91.8125
1692036314,1023.5117,365.9766,2430.32,91.8125
1692036313,1023.5117,365.9766,2430.32,91.8125
1692036312,1023.5117,365.9766,2430.32,91.8125
1692036311,1023.5117,365.9766,2430.32,91.8125
1692036310,1023.5117,365.9766,2430.32,91.8125
1692036309,1023.5117,365.9766,2430.32,91.8125
1692036308,1023.7461,365.7422,2430.32,91.8125
1692036307,1023.7461,365.7422,2430.32,91.8125
1692036306,1023.7461,365.7422,2430.32,91.8125
1692036305,1023.7461,365.7422,2430.32,91.8125
1692036304,1023.7461,365.75,2430.312,91.8125
1692036303,1023.7461,365.7578,2430.309,91.80859
1692036302,1023.7461,365.7695,2430.297,91.80859
1692036301,1023.7461,365.7812,2430.285,91.80859
1692036300,1023.9922,365.5469,2430.273,91.80859
1692036299,1024.7305,364.8164,2430.266,91.80859
1692036298,1024.7305,364.8281,2430.254,91.80859
1692036297,1026.4531,363.1133,2430.246,91.80859
1692036296,1026.6992,362.8828,2430.23,91.80859
1692036295,1026.6992,362.8867,2430.227,91.80859
1692036294,1028.9141,360.6875,2430.211,91.80859
1692036293,1028.9141,360.6953,2430.203,91.80859
1692036292,1028.9141,360.707,2430.191,91.80859
1692036291,1030.6367,359,2430.176,91.80859
1692036290,1030.6367,359.0117,2430.164,91.80859
1692036289,1032.6055,357.0508,2430.156,91.80859
1692036288,1032.8516,356.8203,2430.141,91.80859
1692036287,1033.0977,356.5859,2430.129,91.80859
1692036286,1033.3398,356.3477,2430.125,91.80859
1692036285,1033.3398,356.3672,2430.105,91.80859
1692036284,1033.3398,356.3828,2430.09,91.80859
1692036283,1033.3398,356.3906,2430.082,91.80859
1692036282,1033.3398,356.3984,2430.074,91.80859
1692036281,1033.3398,356.4062,2430.066,91.80859
1692036280,1033.5859,356.1719,2430.055,91.80859
1692036279,1033.5859,356.1836,2430.043,91.80859
1692036278,1033.8203,355.9609,2430.031,91.80859
1692036277,1033.8203,355.9688,2430.023,91.80859
1692036276,1035.543,354.25,2430.02,91.80859
1692036275,1035.543,354.2617,2430.008,91.80859
1692036274,1038.0039,351.8164,2429.992,91.80859
1692036273,1040.2188,349.6094,2429.984,91.80859
1692036272,1002.0938,387.7461,2429.973,91.80859
1692036271,1002.0938,387.7578,2429.961,91.80859
1692036270,1002.0938,387.7617,2429.957,91.80859
1692036269,1002.0938,387.7773,2429.941,91.80859
1692036268,1002.0938,387.7891,2429.93,91.80859
1692036267,1002.0938,387.7969,2429.922,91.80859
1692036266,1002.0938,387.8086,2429.91,91.80859
1692036265,1002.0938,387.8203,2429.898,91.80859
1692036264,1002.0938,387.8281,2429.891,91.80859
1692036263,1002.0938,387.8516,2429.871,91.80469
1692036262,1002.0938,387.8633,2429.859,91.80469
1692036261,1002.0938,387.8711,2429.852,91.80469
1692036260,1002.0938,387.8867,2429.836,91.80469
1692036259,1002.0938,387.8945,2429.828,91.80469
1692036258,1004.0625,385.9414,2429.816,91.80078
1692036257,1006.2773,383.7344,2429.809,91.80078
1692036256,1008.4922,381.5312,2429.797,91.80078
1692036255,1008.4922,381.543,2429.785,91.80078
1692036254,1010.4609,379.582,2429.777,91.80078
1692036253,1012.6758,377.3867,2429.762,91.79688
1692036252,1014.8906,375.1797,2429.754,91.79688
1692036251,1017.1055,372.9727,2429.746,91.79688
1692036250,1017.3516,372.7422,2429.73,91.79688
1692036249,1017.3516,372.7461,2429.727,91.79688
1692036248,1017.3516,372.7578,2429.715,91.79688
1692036247,1017.3516,372.7734,2429.699,91.79688
1692036246,1017.3516,372.7812,2429.691,91.79688
