time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
1692036341,0,0,0.5025126,0,0,1.0050251,0.5025126,0.5025126,0
1692036340,0,0,0,0,0,0.5050505,0.5050505,1.5151515,0
1692036339,0,0,0,0,0,1.5151515,1.010101,1.5151515,0
1692036338,0,0,0,0,0,0.5025126,1.5075377,0.5025126,0.5025126
1692036337,0,0,0,0,0,0.5076142,1.0152284,0.5076142,0
1692036336,0,0,0.4975124,0,0,0.9950249,0.9950249,0.9950249,0
1692036335,0,0,0,0,0,0,1.5151515,1.010101,0
1692036334,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692036333,0,0,0,0,0,0.5050505,0.5050505,1.5151515,0
1692036332,0,0,0,0,0,1.010101,1.010101,0.5050505,0
1692036331,0,0,0.5,0,0,0.5,1.5,1,0
1692036330,0,0,0.5050505,0,0,0.5050505,1.010101,0.5050505,0
1692036329,0,0,0,0,0,1.010101,1.5151515,1.010101,0
1692036328,0,0,0,0,0,1.0152284,0.5076142,1.0152284,0
1692036327,0,0,0,0,0,1,1,1,0
1692036326,0,0,0,0,0,0,1.5075377,1.5075377,0
1692036325,0,0,0.5025126,0,0,0.5025126,0.5025126,1.0050251,0
1692036324,0,0,0,0,0,1.0050251,1.0050251,1.0050251,0
1692036323,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692036322,0,0,0,0,0,1.010101,0,1.5151515,0
1692036321,0,0,0.5050505,0,0,0,1.010101,0.5050505,0
1692036320,0,0,0,0,0,0,1.5151515,1.010101,0
1692036319,0,0,0,0,0,1.0050251,1.0050251,1.5075377,0
1692036318,0,0,0,0,0,0.5050505,0.5050505,1.010101,0
1692036317,0,0,0,0,0,0.5050505,0,1.5151515,0
1692036316,0,0,0,0,0,0,1.0050251,2.01005,0
1692036315,0,0,0.5050505,0,0,0,1.010101,1.010101,0
1692036314,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692036313,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692036312,0,0,0,0,0,1.5151515,0.5050505,1.010101,0
1692036311,0,0,0,0,0,0.5025126,1.0050251,1.0050251,0
1692036310,0,0,0.5025126,0,0,0,0.5025126,1.5075377,0
1692036309,0,0,0,0,0,1.010101,1.010101,1.010101,0
1692036308,0,0,0,0,0,1.010101,0.5050505,1.010101,0
1692036307,0,0,0,0.5050505,0,0,0.5050505,1.010101,0
1692036306,0,0,0,0,0,0.5050505,1.010101,0.5050505,0
1692036305,0,0,0.5050505,0,0,0.5050505,1.5151515,0.5050505,0
1692036304,0,0,0,0.5025126,0,3.015075,1.0050251,1.5075377,0
1692036303,0,0,0,0,0,3.076923,1.025641,1.025641,0
1692036302,0,0,0.5050505,0,0,2.525253,1.010101,1.010101,0
1692036301,0,0,0,0,0,3.045685,2.030457,1.0152284,0
1692036300,0,0,1.5151515,0.5050505,0,2.020202,1.5151515,1.010101,0
1692036299,0,0,0,0,0,3.076923,2.051282,0.5128205,0
1692036298,0,0,0.5,0.5,0,2.5,2.5,0.5,0
1692036297,0,0,0,0,0,3.061224,0,1.5306122,0
1692036296,0,0,0,0.5076142,0,2.538071,1.0152284,0.5076142,0
1692036295,0,0,0.5050505,0,0,3.030303,1.5151515,1.5151515,0
