time,free,used,cached,buffers
1692037042,1005.0508,374.9141,2439.566,92.08984
1692037041,1005.0508,374.9141,2439.566,92.08984
1692037040,1005.0508,374.9141,2439.566,92.08984
1692037039,1005.0508,374.9141,2439.566,92.08984
1692037038,1005.0508,374.9141,2439.566,92.08984
1692037037,1006.2812,373.6836,2439.566,92.08984
1692037036,1006.2812,373.6836,2439.566,92.08984
1692037035,1006.2812,373.6836,2439.566,92.08984
1692037034,1006.2812,373.6836,2439.566,92.08984
1692037033,1006.2812,373.6836,2439.566,92.08984
1692037032,1006.2812,373.6836,2439.566,92.08984
1692037031,1006.5273,373.4414,2439.562,92.08984
1692037030,1008.7422,371.2266,2439.566,92.08594
1692037029,1009.9727,370.0078,2439.555,92.08594
1692037028,1009.9727,370.0273,2439.535,92.08594
1692037027,1009.9727,370.0586,2439.504,92.08594
1692037026,1009.9727,370.0859,2439.477,92.08594
1692037025,1009.9727,370.1172,2439.445,92.08594
1692037024,1009.9727,370.1445,2439.418,92.08594
1692037023,1010.2188,369.9297,2439.387,92.08594
1692037022,1010.4648,369.7148,2439.355,92.08594
1692037021,1010.4648,369.7422,2439.328,92.08594
1692037020,1010.4648,369.7617,2439.309,92.08594
1692037019,1010.4648,369.7969,2439.273,92.08594
1692037018,1010.4648,369.832,2439.238,92.08594
1692037017,1010.7109,369.6133,2439.211,92.08594
1692037016,1010.7109,369.6406,2439.184,92.08594
1692037015,1010.7109,369.6758,2439.148,92.08594
1692037014,1010.7109,369.7109,2439.117,92.08203
1692037013,1010.7109,369.7305,2439.098,92.08203
1692037012,1010.7109,369.7617,2439.066,92.08203
1692037011,1010.7109,369.793,2439.035,92.08203
1692037010,1010.7109,369.8164,2439.012,92.08203
1692037009,1011.2031,369.3516,2438.984,92.08203
1692037008,1013.1719,367.4219,2438.945,92.08203
1692037007,1013.1719,367.4531,2438.914,92.08203
1692037006,1013.1719,367.4844,2438.883,92.08203
1692037005,1013.1719,367.5195,2438.848,92.08203
1692037004,1013.1719,367.5469,2438.824,92.07812
1692037003,1015.3867,365.3633,2438.793,92.07812
1692037002,1017.3555,363.4219,2438.766,92.07812
1692037001,1019.3242,361.4844,2438.734,92.07812
1692037000,1019.3242,361.5117,2438.707,92.07812
1692036999,1021.293,359.5742,2438.68,92.07422
1692036998,1021.5273,359.3867,2438.633,92.07422
1692036997,1022.0195,358.9141,2438.613,92.07422
1692036996,1022.0195,358.9492,2438.578,92.07422
1692036995,1022.0195,358.9766,2438.551,92.07422
1692036994,1022.0195,359,2438.531,92.07031
1692036993,1023.9883,357.0664,2438.496,92.07031
1692036992,1025.7109,355.3789,2438.461,92.07031
1692036991,1026.2031,354.918,2438.43,92.07031
1692036990,1028.1445,352.9961,2438.41,92.07031
1692036989,990.9844,390.1914,2438.375,92.07031
1692036988,991.2188,389.9961,2438.336,92.07031
1692036987,991.2188,390.0234,2438.309,92.07031
1692036986,991.2188,390.0508,2438.281,92.07031
1692036985,991.2188,390.0781,2438.254,92.07031
1692036984,991.2188,390.1133,2438.219,92.07031
1692036983,991.2188,390.1484,2438.184,92.07031
1692036982,993.4336,387.957,2438.16,92.07031
1692036981,993.9258,387.4883,2438.137,92.07031
1692036980,993.9258,387.5234,2438.102,92.07031
1692036979,993.9258,387.5469,2438.078,92.07031
1692036978,993.9258,387.5742,2438.051,92.07031
1692036977,993.9258,387.6055,2438.02,92.07031
1692036976,993.9258,387.6367,2437.988,92.07031
1692036975,993.9258,387.668,2437.957,92.07031
1692036974,995.8945,385.7227,2437.938,92.06641
1692036973,996.1406,385.5117,2437.902,92.06641
1692036972,997.6172,384.0664,2437.871,92.06641
1692036971,999.0938,382.6211,2437.84,92.06641
1692036970,999.0938,382.6445,2437.816,92.06641
1692036969,1001.0625,380.7109,2437.785,92.0625
1692036968,1003.2773,378.5234,2437.758,92.0625
1692036967,1005.2461,376.5898,2437.723,92.0625
1692036966,1007.4609,374.3984,2437.699,92.0625
1692036965,1009.6758,372.2148,2437.668,92.0625
1692036964,1010.6602,371.2578,2437.645,92.05859
1692036963,1010.6602,371.293,2437.609,92.05859
1692036962,1010.6602,371.3164,2437.586,92.05859
1692036961,1011.8906,370.1289,2437.543,92.05859
1692036960,1011.8906,370.1484,2437.523,92.05859
1692036959,1011.8906,370.1836,2437.488,92.05859
1692036958,1012.1367,369.957,2437.469,92.05859
1692036957,1012.1367,369.9922,2437.434,92.05859
1692036956,1012.875,369.2773,2437.41,92.05859
1692036955,1012.875,369.3086,2437.379,92.05859
1692036954,1015.0898,367.1367,2437.34,92.05469
1692036953,1015.0898,367.1641,2437.312,92.05469
1692036952,1015.0898,367.1992,2437.277,92.05469
1692036951,1015.0898,367.2266,2437.25,92.05469
1692036950,1015.0898,367.2578,2437.219,92.05469
1692036949,1015.0898,367.2852,2437.191,92.05469
1692036948,1015.3359,367.0664,2437.164,92.05469
1692036947,1015.3359,367.0977,2437.133,92.05469
1692036946,1015.3359,367.125,2437.105,92.05469
1692036945,1015.3359,367.1602,2437.07,92.05469
1692036944,1015.3359,367.1875,2437.043,92.05469
1692036943,1015.3359,367.2148,2437.016,92.05469
1692036942,1015.3359,367.2461,2436.984,92.05469
1692036941,1015.3359,367.2695,2436.961,92.05469
1692036940,1015.3359,367.3047,2436.926,92.05469
1692036939,1015.3359,367.3281,2436.902,92.05469
1692036938,1015.3359,367.3594,2436.871,92.05469
1692036937,1017.0586,365.6641,2436.844,92.05469
1692036936,1017.3047,365.4453,2436.816,92.05469
1692036935,1019.2734,363.5078,2436.785,92.05469
1692036934,1019.2734,363.5273,2436.766,92.05469
1692036933,1021.2422,361.5859,2436.738,92.05469
1692036932,1022.9648,359.9023,2436.699,92.05469
1692036931,1022.9648,359.9336,2436.668,92.05469
1692036930,1022.9648,359.957,2436.645,92.05469
1692036929,1022.9648,360.0039,2436.602,92.05078
1692036928,1022.9648,360.0273,2436.578,92.05078
1692036927,1022.9648,360.0547,2436.551,92.05078
1692036926,1022.9648,360.082,2436.523,92.05078
1692036925,1024.9336,358.1523,2436.484,92.05078
1692036924,1025.1797,357.9258,2436.465,92.05078
1692036923,1026.4102,356.7383,2436.422,92.05078
